latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.1659,-3.6193,311.8,1.2,1.1,2019-01-01,1100,Terra,MODIS,72,6.3,283.3,18.6,D,0
42.097,-6.8933,302.4,1.8,1.3,2019-01-01,1100,Terra,MODIS,52,6.3,283.3,16.8,D,0
42.095,-6.8708,307.8,1.8,1.3,2019-01-01,1100,Terra,MODIS,66,6.3,282.7,24.2,D,0
39.2835,-0.5642,309.8,1,1,2019-01-01,1101,Terra,MODIS,69,6.3,287.1,10.5,D,0
42.0856,-6.8701,318.9,3.8,1.8,2019-01-01,1241,Aqua,MODIS,79,6.3,282.4,136.2,D,0
42.078,-6.9254,306.5,3.9,1.8,2019-01-01,1241,Aqua,MODIS,64,6.3,284.7,68.3,D,0
42.0727,-6.9181,309.7,3.9,1.8,2019-01-01,1241,Aqua,MODIS,69,6.3,284.4,83.9,D,0
42.091,-6.8782,320.9,3.8,1.8,2019-01-01,1241,Aqua,MODIS,81,6.3,282.5,150.1,D,0
42.0876,-6.8972,312.1,3.4,1.7,2019-01-01,1419,Aqua,MODIS,72,6.3,284.9,77.7,D,0
42.0816,-6.9013,306.6,3.4,1.7,2019-01-01,1419,Aqua,MODIS,64,6.3,284.4,54.5,D,0
42.0893,-6.8597,301.3,3.4,1.7,2019-01-01,1419,Aqua,MODIS,46,6.3,281.7,37.2,D,0
42.0832,-6.8631,303.9,3.4,1.7,2019-01-01,1419,Aqua,MODIS,57,6.3,282,45.1,D,0
42.1023,-6.8732,300.7,1.2,1.1,2019-01-02,0218,Aqua,MODIS,30,6.3,270.5,12,N,0
42.8816,-5.6649,306.6,1.4,1.2,2019-01-02,1143,Terra,MODIS,64,6.3,283.6,16.1,D,0
42.0196,-2.4131,301,2.1,1.4,2019-01-02,1143,Terra,MODIS,44,6.3,282,21.1,D,0
42.0255,-2.4395,312.7,2.1,1.4,2019-01-02,1143,Terra,MODIS,73,6.3,282,43.6,D,0
39.332,-5.3469,340.7,1,1,2019-01-02,1323,Aqua,MODIS,80,6.3,286.1,49.3,D,0
37.9869,-3.166,303.6,1,1,2019-01-02,1323,Aqua,MODIS,56,6.3,289.4,6,D,0
37.9885,-3.1548,300.1,1,1,2019-01-02,1323,Aqua,MODIS,29,6.3,288.6,4.1,D,0
37.5454,-5.1663,305.5,1.1,1,2019-01-02,1323,Aqua,MODIS,62,6.3,293.5,5.5,D,0
37.6358,-4.5928,303.9,1,1,2019-01-02,1323,Aqua,MODIS,57,6.3,288.2,5.8,D,0
37.6376,-4.5812,301.1,1,1,2019-01-02,1323,Aqua,MODIS,44,6.3,288.1,4.4,D,0
39.3301,-5.3588,337.4,1,1,2019-01-02,1323,Aqua,MODIS,79,6.3,286.1,43.7,D,0
38.9577,-5.7698,315.5,1.1,1,2019-01-02,1323,Aqua,MODIS,76,6.3,286,16.4,D,0
42.0226,-2.4368,301.5,1.1,1,2019-01-02,1324,Aqua,MODIS,48,6.3,282.1,7.7,D,0
42.8763,-5.6712,307.4,1,1,2019-01-02,1324,Aqua,MODIS,65,6.3,287.3,10.4,D,0
42.9551,-5.4245,321.4,2.2,1.4,2019-01-03,1047,Terra,MODIS,81,6.3,280.9,72.5,D,0
42.957,-5.4522,311.6,2.2,1.5,2019-01-03,1047,Terra,MODIS,71,6.3,280.9,44.9,D,0
42.9444,-5.4345,321.3,2.2,1.4,2019-01-03,1048,Terra,MODIS,56,6.3,280.8,65.6,D,0
