latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
40.92,-6.539,324.7,3.7,1.8,2019-08-01,1210,Terra,MODIS,74,6.0NRT,305.5,65.8,D
40.928,-6.53,321.5,3.7,1.8,2019-08-01,1210,Terra,MODIS,69,6.0NRT,304.8,42.3,D
43.096,-7.046,319.3,1.5,1.2,2019-08-01,1355,Aqua,MODIS,73,6.0NRT,298.3,21.4,D
43.097,-7.027,344.6,1.5,1.2,2019-08-01,1355,Aqua,MODIS,93,6.0NRT,299,82.8,D
42.377,-0.105,325.4,1.3,1.1,2019-08-02,1115,Terra,MODIS,77,6.0NRT,300.4,27.1,D
43.541,-5.826,314.3,1,1,2019-08-02,1115,Terra,MODIS,64,6.0NRT,298.5,8.1,D
42.348,-1.924,322.3,1.1,1,2019-08-02,1115,Terra,MODIS,62,6.0NRT,305.6,9.3,D
42.369,-0.11,337,1,1,2019-08-02,1255,Aqua,MODIS,86,6.0NRT,304.1,33.2,D
38.292,-6.352,333.2,2.5,1.5,2019-08-02,1255,Aqua,MODIS,56,6.0NRT,319.8,44.1,D
38.305,-6.332,348.7,2.5,1.5,2019-08-02,1255,Aqua,MODIS,92,6.0NRT,315.9,147.5,D
38.299,-6.359,331.8,2.5,1.5,2019-08-02,1255,Aqua,MODIS,61,6.0NRT,318.3,40.5,D
38.298,-6.325,340.4,2.5,1.5,2019-08-02,1255,Aqua,MODIS,83,6.0NRT,318.8,85.8,D
43.526,-5.733,317.5,1.7,1.3,2019-08-02,1300,Aqua,MODIS,36,6.0NRT,299,19.3,D
37.832,-3.511,338.2,1,1,2019-08-02,2220,Terra,MODIS,100,6.0NRT,297.3,40,N
43.528,-5.732,301,1,1,2019-08-02,2225,Terra,MODIS,37,6.0NRT,290,4.8,N
40.379,-3.977,310.2,1.3,1.1,2019-08-03,0235,Aqua,MODIS,79,6.0NRT,288.5,16.3,N
40.38,-3.982,314,1.3,1.1,2019-08-03,0235,Aqua,MODIS,88,6.0NRT,288.5,20.4,N
41.961,-7.559,312.5,2.4,1.5,2019-08-03,2305,Terra,MODIS,85,6.0NRT,288.3,44.4,N
41.952,-7.582,304,2.4,1.5,2019-08-03,2305,Terra,MODIS,58,6.0NRT,287.7,25.9,N
41.954,-7.552,306.8,2.4,1.5,2019-08-03,2305,Terra,MODIS,69,6.0NRT,288.5,31.4,N
38.853,-6.576,333.8,1.3,1.1,2019-08-04,1105,Terra,MODIS,62,6.0NRT,310.7,27.7,D
38.851,-6.561,329.2,1.3,1.1,2019-08-04,1105,Terra,MODIS,22,6.0NRT,309,18.2,D
40.83,-3.818,395.4,2.3,1.5,2019-08-04,1245,Aqua,MODIS,100,6.0NRT,316.2,741.3,D
40.846,-3.816,336.5,2.3,1.5,2019-08-04,1245,Aqua,MODIS,83,6.0NRT,299.7,103.3,D
40.828,-3.837,404.1,2.3,1.5,2019-08-04,1245,Aqua,MODIS,100,6.0NRT,316.6,923.2,D
40.833,-3.813,411.3,2.3,1.5,2019-08-04,1245,Aqua,MODIS,100,6.0NRT,314.7,1082.3,D
39.523,-5.434,323.3,3.1,1.7,2019-08-04,1245,Aqua,MODIS,45,6.0NRT,305.3,59.9,D
39.532,-5.401,328.1,3.1,1.7,2019-08-04,1245,Aqua,MODIS,68,6.0NRT,307.7,92.3,D
39.525,-5.428,328.1,3.1,1.7,2019-08-04,1245,Aqua,MODIS,69,6.0NRT,305.5,89.4,D
39.533,-5.395,323.6,3.1,1.7,2019-08-04,1245,Aqua,MODIS,51,6.0NRT,307.7,65.7,D
40.837,-3.85,347.5,2.3,1.5,2019-08-04,1245,Aqua,MODIS,92,6.0NRT,301.7,169.2,D
40.843,-3.822,392.9,2.3,1.5,2019-08-04,1245,Aqua,MODIS,100,6.0NRT,304.8,695.8,D
40.825,-3.843,349.9,2.3,1.5,2019-08-04,1245,Aqua,MODIS,94,6.0NRT,309.9,184.9,D
40.84,-3.843,338.7,2.3,1.5,2019-08-04,1245,Aqua,MODIS,85,6.0NRT,299.4,116.5,D
40.885,-3.952,382.9,1,1,2019-08-04,2210,Terra,MODIS,100,6.0NRT,300.8,173.7,N
40.901,-3.969,311.8,1,1,2019-08-04,2210,Terra,MODIS,83,6.0NRT,290.7,11.8,N
40.89,-3.979,330.3,1,1,2019-08-04,2210,Terra,MODIS,100,6.0NRT,293.2,30.5,N
40.892,-3.966,356.5,1,1,2019-08-04,2210,Terra,MODIS,100,6.0NRT,298.3,81,N
40.894,-3.954,310.8,1,1,2019-08-04,2210,Terra,MODIS,81,6.0NRT,292,10.9,N
40.881,-3.976,301.7,1,1,2019-08-04,2210,Terra,MODIS,37,6.0NRT,290.6,4.8,N
40.883,-3.964,381.8,1,1,2019-08-04,2210,Terra,MODIS,100,6.0NRT,300.5,168.9,N
40.887,-3.94,345.3,1,1,2019-08-04,2210,Terra,MODIS,100,6.0NRT,291.5,56,N
40.852,-3.813,301.3,1,1,2019-08-04,2210,Terra,MODIS,28,6.0NRT,289.8,4.5,N
40.841,-3.822,304.1,1,1,2019-08-04,2210,Terra,MODIS,58,6.0NRT,290.4,6.3,N
40.844,-3.815,304.4,1,1,2019-08-05,0220,Aqua,MODIS,60,6.0NRT,286.7,7.6,N
40.895,-3.968,323,1,1,2019-08-05,0220,Aqua,MODIS,100,6.0NRT,290.3,22.3,N
40.884,-3.959,316.8,1,1,2019-08-05,0220,Aqua,MODIS,94,6.0NRT,287.6,16.5,N
40.893,-3.957,313.5,1,1,2019-08-05,0220,Aqua,MODIS,87,6.0NRT,290.1,13.7,N
40.892,-3.945,306.6,1,1,2019-08-05,0220,Aqua,MODIS,66,6.0NRT,287.3,9,N
40.904,-3.966,310.5,1,1,2019-08-05,0220,Aqua,MODIS,59,6.0NRT,288.3,11.2,N
40.842,-3.803,309,1,1,2019-08-05,0220,Aqua,MODIS,76,6.0NRT,289.5,10.5,N
40.893,-3.946,321.2,2.3,1.5,2019-08-05,1145,Terra,MODIS,49,6.0NRT,306.8,38.3,D
40.886,-3.946,342.5,1.1,1,2019-08-05,1325,Aqua,MODIS,84,6.0NRT,314,37.3,D
40.885,-3.958,337,1.1,1,2019-08-05,1325,Aqua,MODIS,65,6.0NRT,321.5,27.8,D
40.837,-3.82,332.6,1.1,1,2019-08-05,1325,Aqua,MODIS,47,6.0NRT,320,18.9,D
38.046,-6.298,308,1.7,1.3,2019-08-05,2250,Terra,MODIS,73,6.0NRT,294.2,16.3,N
38.048,-6.28,311,1.7,1.3,2019-08-05,2250,Terra,MODIS,81,6.0NRT,294.5,20.8,N
41.663,-1.711,318.3,2.5,1.5,2019-08-06,1235,Aqua,MODIS,0,6.0NRT,285.1,43,D
39.789,-0.194,328.1,1,1,2019-08-09,1300,Aqua,MODIS,59,6.0NRT,313,7.6,D
39.981,-0.086,328.7,1,1,2019-08-09,1300,Aqua,MODIS,47,6.0NRT,312.4,8.3,D
39.983,-0.075,338,1,1,2019-08-09,1300,Aqua,MODIS,83,6.0NRT,312.5,20.8,D
28.023,-15.631,381.3,1.7,1.3,2019-08-10,1210,Terra,MODIS,100,6.0NRT,311.2,310.5,D
