latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
41.92411,0.1807,321.6,0.52,0.42,2016-01-01,0220,N,VIIRS,n,1,275.4,2.6,2
41.31285,1.66159,309.7,0.41,0.45,2016-01-01,0220,N,VIIRS,n,1,280.8,1.7,2
41.92038,0.17933,299.6,0.52,0.42,2016-01-01,0220,N,VIIRS,n,1,273.7,1.1,2
41.92235,0.18025,326.1,0.52,0.42,2016-01-01,0220,N,VIIRS,n,1,274.7,4.1,2
41.40572,1.9966,297.1,0.43,0.46,2016-01-01,0220,N,VIIRS,n,1,278.5,0.8,2
36.7144,-4.33291,297.7,0.42,0.38,2016-01-01,0221,N,VIIRS,n,1,284.4,1.2,3
38.37533,-0.54292,296.9,0.56,0.43,2016-01-01,0221,N,VIIRS,n,1,278.7,1.3,2
43.53928,-5.82779,315,0.52,0.42,2016-01-02,0201,N,VIIRS,n,1,277.3,1.5,2
43.53997,-5.83436,296.5,0.52,0.42,2016-01-02,0201,N,VIIRS,n,1,275.9,1.5,2
42.81224,-1.74305,295.8,0.39,0.36,2016-01-02,0201,N,VIIRS,n,1,277.9,0.5,2
36.9679,-1.90585,309.5,0.38,0.36,2016-01-02,0202,N,VIIRS,n,1,286.3,1.3,3
36.71249,-4.33046,297.9,0.4,0.37,2016-01-02,0202,N,VIIRS,n,1,286.2,1.1,3
43.52997,-5.73034,298.7,0.74,0.76,2016-01-02,0340,N,VIIRS,n,1,277.1,2.7,2
41.63406,0.52393,332.1,0.44,0.46,2016-01-02,1324,N,VIIRS,n,1,285.4,3.8,0
41.71564,0.71499,341.7,0.45,0.47,2016-01-02,1324,N,VIIRS,n,1,287.4,6.7,0
42.53387,-3.12376,327.7,0.47,0.4,2016-01-02,1324,N,VIIRS,n,1,283.1,6.7,0
43.55749,-5.90022,330.2,0.4,0.37,2016-01-02,1325,N,VIIRS,n,1,287.1,5.2,2
43.27575,-6.07421,339.5,0.4,0.37,2016-01-02,1325,N,VIIRS,n,1,283.4,4.5,0
43.27978,-6.07006,352,0.4,0.37,2016-01-02,1325,N,VIIRS,n,1,301.8,43.2,0
41.31194,1.66092,296.8,0.35,0.57,2016-01-05,0104,N,VIIRS,n,1,279.5,0.9,2
41.31308,1.66345,307.5,0.35,0.57,2016-01-05,0104,N,VIIRS,n,1,280.7,1.2,2
41.31295,1.66478,309.5,0.42,0.61,2016-01-05,0244,N,VIIRS,n,1,279.6,1.4,2
41.31014,1.66196,313,0.42,0.61,2016-01-05,0245,N,VIIRS,n,1,278.8,1.9,2
38.41551,-3.62159,326.1,0.36,0.57,2016-01-05,1227,N,VIIRS,n,1,275.9,2.6,0
40.42815,-1.42154,352.5,0.5,0.49,2016-01-05,1227,N,VIIRS,n,1,279.7,11.2,0
38.66818,1.38668,309.4,0.55,0.51,2016-01-06,0226,N,VIIRS,n,1,284,1.3,3
41.31107,1.66446,308.7,0.49,0.49,2016-01-06,0226,N,VIIRS,n,1,279.7,2.4,2
41.4546,1.97882,297.8,0.51,0.49,2016-01-06,0226,N,VIIRS,n,1,279.1,1.1,2
41.92083,0.18069,299.9,0.41,0.45,2016-01-06,0226,N,VIIRS,n,1,271.9,2.3,2
41.92482,0.18225,326.9,0.41,0.45,2016-01-06,0226,N,VIIRS,n,1,273.7,2.3,2
39.05134,-5.60806,302,0.41,0.37,2016-01-06,0227,N,VIIRS,n,1,276.3,0.7,0
36.9663,-1.90298,301.1,0.41,0.45,2016-01-06,0227,N,VIIRS,n,1,280.1,1.4,3
43.55687,-5.90634,305.2,0.46,0.39,2016-01-07,0207,N,VIIRS,n,1,262.9,0.9,2
43.53676,-5.82946,296.3,0.45,0.39,2016-01-07,0207,N,VIIRS,n,1,265.8,1.1,2
