latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
41.45547,1.97831,304.9,0.44,0.38,2019-07-01,0130,N,VIIRS,n,1.0NRT,294.7,0.9,N
41.52786,1.80513,304.4,0.45,0.39,2019-07-01,0130,N,VIIRS,n,1.0NRT,293.1,0.8,N
36.96622,-1.90233,308.4,0.57,0.43,2019-07-01,0130,N,VIIRS,n,1.0NRT,295.4,2,N
38.10108,-3.61991,306.1,0.48,0.48,2019-07-01,0130,N,VIIRS,n,1.0NRT,292.1,0.6,N
39.86227,-5.33452,309.6,0.61,0.53,2019-07-01,0130,N,VIIRS,n,1.0NRT,291.4,1.8,N
39.86725,-5.33408,306.3,0.61,0.53,2019-07-01,0130,N,VIIRS,n,1.0NRT,291.4,1.2,N
40.27245,-4.49023,312.8,0.56,0.51,2019-07-01,0130,N,VIIRS,n,1.0NRT,292.4,3.1,N
40.27197,-4.48396,316.1,0.56,0.51,2019-07-01,0130,N,VIIRS,n,1.0NRT,293.1,3.5,N
39.93647,-3.74428,307.9,0.5,0.49,2019-07-01,0130,N,VIIRS,n,1.0NRT,293.6,1.3,N
40.24623,-3.47371,315.9,0.49,0.49,2019-07-01,0130,N,VIIRS,n,1.0NRT,293.7,2.2,N
40.29536,-4.47326,307.2,0.56,0.51,2019-07-01,0130,N,VIIRS,n,1.0NRT,290.6,1.3,N
40.27245,-4.48885,314.2,0.56,0.51,2019-07-01,0130,N,VIIRS,n,1.0NRT,292.3,2.5,N
40.27201,-4.48252,313,0.56,0.51,2019-07-01,0130,N,VIIRS,n,1.0NRT,292.7,2.5,N
41.47564,-1.48568,306.3,0.4,0.45,2019-07-01,0130,N,VIIRS,n,1.0NRT,294,0.1,N
41.31223,1.66148,314.9,0.45,0.39,2019-07-01,0130,N,VIIRS,n,1.0NRT,294,1.8,N
38.39415,-5.78957,301.3,0.53,0.67,2019-07-01,0312,N,VIIRS,n,1.0NRT,287.3,0.6,N
39.86263,-5.33685,301.3,0.51,0.66,2019-07-01,0312,N,VIIRS,n,1.0NRT,290,0.7,N
40.2943,-4.47322,306.3,0.54,0.68,2019-07-01,0312,N,VIIRS,n,1.0NRT,288.1,1,N
40.24472,-3.47409,311.5,0.61,0.71,2019-07-01,0312,N,VIIRS,n,1.0NRT,289.1,2.2,N
40.24397,-3.47651,306.1,0.61,0.71,2019-07-01,0312,N,VIIRS,n,1.0NRT,288.6,2.1,N
43.55756,-5.90521,304.8,0.37,0.58,2019-07-01,0312,N,VIIRS,n,1.0NRT,287.9,1.6,N
38.88885,-6.63361,344.2,0.39,0.44,2019-07-01,1254,N,VIIRS,n,1.0NRT,311.8,3.1,D
38.89891,-7.073,354.1,0.41,0.45,2019-07-01,1254,N,VIIRS,n,1.0NRT,318.9,12.8,D
40.30053,-4.89694,338.4,0.47,0.4,2019-07-01,1254,N,VIIRS,l,1.0NRT,310.6,41.1,D
38.89714,-7.07386,346.4,0.41,0.45,2019-07-01,1254,N,VIIRS,n,1.0NRT,318,2.7,D
42.59133,2.95749,338.4,0.46,0.39,2019-07-01,1254,N,VIIRS,n,1.0NRT,304.4,2.5,D
40.29683,-4.89645,346.4,0.47,0.4,2019-07-01,1254,N,VIIRS,l,1.0NRT,319.1,41.1,D
38.90117,-7.07534,349.8,0.41,0.45,2019-07-01,1254,N,VIIRS,n,1.0NRT,316,6.8,D
41.3138,1.66185,309.7,0.48,0.48,2019-07-02,0112,N,VIIRS,n,1.0NRT,293.2,1.5,N
36.9679,-1.90501,307.1,0.34,0.56,2019-07-02,0112,N,VIIRS,n,1.0NRT,292.9,1.1,N
