,acq_date,latitude,longitude,provincias
0,2018-01-01,43.5241,-5.7169,Asturias
1,2018-01-01,43.5259,-5.7361,Asturias
2,2018-01-01,37.0116,-2.1772,Almeria
3,2018-01-03,38.2577,-1.6236,Noroeste
4,2018-01-03,36.3733,-5.3191,Campo de Gibraltar
5,2018-01-03,37.714,-5.8597,Sevilla
6,2018-01-04,39.6224,-0.2892,Valencia
7,2018-01-04,39.6262,-0.2381,Valencia
8,2018-01-04,39.6392,-0.2397,Valencia
9,2018-01-04,39.6372,-0.2653,Valencia
10,2018-01-05,41.6084,0.5166,Lleida
11,2018-01-05,39.8986,-3.8603,Las Vegas
12,2018-01-05,37.0141,-2.1759,Almeria
13,2018-01-05,38.9895,-0.2351,Valencia
14,2018-01-05,41.8659,-1.2673,Ribera Alta del Ebro
15,2018-01-05,41.4438,0.5282,Segrià
16,2018-01-05,41.8318,2.6958,Selva
17,2018-01-06,38.8016,-6.8305,Tierra de Badajoz
18,2018-01-06,38.845,-6.4377,Tierra de Barros
19,2018-01-08,39.8215,-4.9015,Toledo
20,2018-01-08,39.8698,-4.317,Toledo
21,2018-01-10,38.6738,-4.0449,Campo de Calatrava
22,2018-01-11,38.9862,-0.1752,Valencia
23,2018-01-12,41.2724,-0.9214,Comarca de Campo de Cariñena
24,2018-01-12,42.3461,2.4835,Céret
25,2018-01-12,40.3875,-1.1633,Teruel
26,2018-01-12,42.3443,2.4715,Girona
27,2018-01-15,37.637,-4.5888,Cordova
28,2018-01-15,39.3292,-5.3669,Cáceres
29,2018-01-15,38.9597,-5.7715,Badajoz
30,2018-01-17,36.7601,-3.5804,Comarca de la Costa Granadina
31,2018-01-17,36.7577,-3.5859,Comarca de la Costa Granadina
32,2018-01-17,37.7647,-1.6963,Alto Guadalentín
33,2018-01-17,40.2309,-2.0878,Cuenca
34,2018-01-17,40.2327,-2.0759,Cuenca
35,2018-01-17,39.9102,-2.826,Cuenca
36,2018-01-17,39.6534,-2.8139,Cuenca
37,2018-01-17,39.6463,-2.7993,Cuenca
38,2018-01-17,39.6359,-2.1016,Cuenca
39,2018-01-17,39.2073,-1.7646,Albacete
40,2018-01-17,38.0989,-1.5701,Río Mula
41,2018-01-17,41.043,-2.6434,Guadalajara
42,2018-01-17,41.4341,-2.5132,Comarca de Almazán
43,2018-01-17,40.8056,-1.3443,Teruel
44,2018-01-17,43.5246,-5.737,Asturias
45,2018-01-18,37.4363,-2.0349,Valle del Almanzora
46,2018-01-18,43.5248,-5.7375,Asturias
47,2018-01-19,40.725,-3.0723,Guadalajara
48,2018-01-19,41.5907,0.3655,Bajo Cinca / Baix Cinca
49,2018-01-19,42.4081,2.012,Prades
50,2018-01-20,37.5191,-7.4921,El Andévalo
