,altitud,prec,tmin,tmax,dir,velmedia,sol
1,632,0.0,12.3,19.3,99.0,1.7,4.3
2,408,0.0,3.1,14.9,4.0,0.3,986.5
3,807,4.2,-0.1,9.3,28.0,3.3,6.3
6,143,0.8,4.5,15.5,28.0,2.2,0.8
8,1131,0.0,2.1,13.1,30.0,9.2,8.3
9,81,0.0,9.4,21.5,30.0,1.9,8.6
10,35,0.0,16.9,23.5,8.0,2.8,7.2
12,891,12.0,0.9,7.8,22.0,9.2,0.1
13,249,0.6,3.0,15.6,27.0,9.7,7.3
14,3,3.3,9.0,18.6,30.0,7.8,2.7
16,127,11.8,11.1,17.3,23.0,11.7,3.8
18,808,0.0,1.6,9.4,25.0,6.4,6.6
19,90,12.5,7.4,15.2,30.0,5.8,1017.8
20,26,7.2,9.9,18.0,30.0,5.0,4.6
21,300,0.0,6.8,20.6,29.0,3.1,998.5
22,75,0.0,6.6,20.2,32.0,2.5,8.5
23,26,0.0,9.9,19.4,31.0,1.9,8.1
24,32,0.0,17.3,23.1,1.0,7.8,9.2
25,1004,0.0,1.9,10.3,27.0,6.9,6.0
26,71,0.0,9.1,16.6,99.0,10.0,8.2
30,620,0.0,1.0,10.6,24.0,6.1,5.9
31,662,0.0,2.4,11.9,27.0,3.6,8.2
32,607,0.0,-0.3,11.6,23.0,3.1,5.7
33,609,0.0,1.9,12.7,19.0,5.6,4.7
34,690,0.0,-1.2,11.0,29.0,3.9,8.4
36,4,22.1,8.8,16.0,23.0,7.2,1.7
37,4,0.0,8.2,19.3,32.0,4.7,9.0
41,715,0.0,2.2,12.4,25.0,3.9,4.0
42,702,0.0,-0.6,13.5,29.0,4.4,8.7
44,8,0.0,12.1,18.7,88.0,1.1,1034.7
45,353,1.2,0.8,14.6,27.0,2.8,4.2
46,15,0.0,18.3,21.3,99.0,1.7,1021.7
48,770,0.0,2.2,10.1,31.0,1.7,7.7
50,580,0.0,4.6,14.3,24.0,0.3,957.9
51,40,0.2,12.2,17.7,30.0,4.2,8.0
52,38,4.5,4.6,19.1,27.0,6.1,1022.7
53,515,0.0,3.9,12.5,26.0,4.7,7.8
54,336,1.1,8.8,16.3,24.0,7.2,4.5
57,2371,0.0,3.2,11.1,10.0,8.9,9.8
59,790,0.0,1.9,8.2,26.0,6.1,0.4
62,1960,0.4,-5.7,1.1,27.0,10.0,815.1
64,1005,0.0,1.2,7.2,26.0,5.6,2.4
65,3,0.0,13.4,17.9,34.0,2.5,8.5
67,728,0.0,1.3,10.1,35.0,5.3,948.2
72,251,25.5,8.0,14.0,24.0,10.6,2.4
75,52,5.7,9.5,16.5,30.0,8.1,3.5
76,42,16.7,7.8,15.9,23.0,8.3,3.3
79,90,0.0,1.8,16.6,31.0,0.3,7.8
80,98,1.7,9.6,15.0,22.0,7.2,0.7
